firstName,surname,id,team,season,jumperNumber,position,providerId,dateOfBirth,draftYear,heightInCm,weightInKg,recruitedFrom,debutYear,draftType,draftPosition,data_accessed
Lachie,Jones,4071,Port Adelaide,2022,34,MEDIUM_DEFENDER,CD_I1011583,2002-04-09,2020,186,90,Bute-Paskville (SA)/Woodville-West Torrens (SANFL),2021,nationalDraft,16,2022-10-24
Taj,Schofield,4070,Port Adelaide,2022,37,MIDFIELDER,CD_I1012310,2002-09-07,2020,178,76,Sorrento-Duncraig (WA)/Subi Colts (WAFL)/Henley (SA)/W-W Torrens (SANFL),NA,rookieElevation,37,2022-10-24
Ollie,Lord,2983,Port Adelaide,2022,30,KEY_FORWARD,CD_I1012881,2002-01-02,2020,197,87,East Brighton (Vic)/Geelong Grammar (Vic)/Sandringham U18,NA,nationalDraft,49,2022-10-24
Jase,Burgoyne,5692,Port Adelaide,2022,36,MEDIUM_DEFENDER,CD_I1013462,2003-07-15,2021,186,65,Port District (SA)/Henley HS (SA)/Woodville-West Torrens (SANFL),2022,fatherSon,60,2022-10-24
Hugh,Jackson,5693,Port Adelaide,2022,39,MIDFIELDER_FORWARD,CD_I1015330,2003-05-03,2021,182,72,Crystal Brook (SA)/Rostrevor Coll (SA)/North Adelaide (SANFL),NA,nationalDraft,55,2022-10-24
Josh,Sinn,5295,Port Adelaide,2022,8,MIDFIELDER_FORWARD,CD_I1017078,2003-01-07,2021,187,78,East Brighton (Vic)/Xavier College (Vic)/Sandr U18/Old Xaverians (Vic),2022,nationalDraft,12,2022-10-24
Dante,Visentini,5229,Port Adelaide,2022,38,RUCK,CD_I1017128,2003-02-13,2021,202,93,Brighton Beach (Vic)/Xavier College (Vic)/Sandringham U18,NA,nationalDraft,56,2022-10-24
Travis,Boak,594,Port Adelaide,2022,10,MIDFIELDER,CD_I250365,1988-08-01,2006,183,85,Torquay (Vic)/Geelong U18,2007,nationalDraft,5,2022-10-24
Robbie,Gray,731,Port Adelaide,2022,9,MEDIUM_FORWARD,CD_I261396,1988-03-30,2006,183,84,East Burwood (Vic)/Oakleigh U18,2007,nationalDraft,55,2022-10-24
Charlie,Dixon,356,Port Adelaide,2022,22,KEY_FORWARD,CD_I280711,1990-09-23,2010,200,107,Redlynch (Qld)/Cairns (Qld)/Redland (Qld)/Gold Coast,2011,zone,NA,2022-10-24
Steven,Motlop,333,Port Adelaide,2022,6,MEDIUM_FORWARD,CD_I280990,1991-03-12,2008,183,82,Wanderers (NT)/Geelong,2010,nationalDraft,39,2022-10-24
Trent,McKenzie,463,Port Adelaide,2022,12,KEY_DEFENDER,CD_I290527,1992-04-03,2010,191,90,Williamstown Juniors (Vic)/Western U18/Gold Coast,2011,other,NA,2022-10-24
Scott,Lycett,831,Port Adelaide,2022,29,RUCK,CD_I290746,1992-09-26,2010,203,102,Thevenard (SA)/Port Adelaide (SANFL)/West Coast,2011,nationalDraft,29,2022-10-24
Tom,Jonas,674,Port Adelaide,2022,1,KEY_DEFENDER,CD_I292145,1991-01-09,2012,188,90,Rostrevor College (SA)/Norwood (SANFL),2011,rookieElevation,85,2022-10-24
Sam,Mayes,61,Port Adelaide,2022,32,MEDIUM_FORWARD,CD_I293603,1994-05-20,2021,187,86,Port Pirie (SA)/North Adelaide (SANFL)/Brisbane,2013,rookieElevation,30,2022-10-24
Ollie,Wines,678,Port Adelaide,2022,16,MIDFIELDER,CD_I294318,1994-10-07,2012,187,98,Echuca (Vic)/Bendigo U18,2013,nationalDraft,7,2022-10-24
Aliir,Aliir,695,Port Adelaide,2022,21,KEY_DEFENDER,CD_I294469,1994-09-05,2013,194,96,Aspley (Qld)/East Fremantle (WAFL)/Sydney,2016,nationalDraft,44,2022-10-24
Tom,Clurey,679,Port Adelaide,2022,17,KEY_DEFENDER,CD_I294504,1994-03-23,2012,193,95,Katamatite (Vic)/Murray U18,2014,nationalDraft,29,2022-10-24
Trent,Dumont,527,Port Adelaide,2022,43,MIDFIELDER,CD_I296035,1995-06-30,2021,186,86,Golden Grove (SA)/Norwood (SANFL)/North Melbourne,2015,rookieElevation,16,2022-10-24
Orazio,Fantasia,277,Port Adelaide,2022,13,MEDIUM_FORWARD,CD_I296334,1995-09-14,2013,180,75,Payneham Norwood Union (SA)/Norwood (SANFL)/Essendon,2014,nationalDraft,55,2022-10-24
Karl,Amon,801,Port Adelaide,2022,15,MIDFIELDER,CD_I297354,1995-08-19,2013,181,77,East Sandringham (Vic)/Sandringham U18,2015,nationalDraft,68,2022-10-24
Jeremy,Finlayson,904,Port Adelaide,2022,11,RUCK,CD_I298111,1996-02-09,2014,197,94,Culcairn (NSW)/Sydney Hills (NEAFL)/NSW-ACT U18/GWS,2017,nationalDraft,85,2022-10-24
Darcy,Byrne-Jones,652,Port Adelaide,2022,33,MEDIUM_DEFENDER,CD_I991930,1995-09-20,2013,181,76,Camberwell (Vic)/Scotch College (Vic)/Oakleigh U18,2016,nationalDraft,52,2022-10-24
Ryan,Burton,927,Port Adelaide,2022,3,MEDIUM_DEFENDER,CD_I992128,1997-01-31,2015,191,90,PHOS-Camden (SA)/North Adelaide (SANFL)/Hawthorn,2016,nationalDraft,19,2022-10-24
Sam,Skinner,775,Port Adelaide,2022,31,KEY_DEFENDER,CD_I993836,1997-06-29,2015,198,98,DFA/2021 Newborough (Vic)/Gippsland U18/Brisbane/S Adelaide (SANFL),2017,nationalDraft,47,2022-10-24
Sam,Powell-Pepper,1406,Port Adelaide,2022,2,MEDIUM_FORWARD,CD_I993979,1998-01-08,2016,187,96,Mount Hawthorn (WA)/Wesley College (WA)/East Perth (WAFL),2017,nationalDraft,18,2022-10-24
Dan,Houston,1043,Port Adelaide,2022,5,MEDIUM_DEFENDER,CD_I994295,1997-05-12,2015,186,88,Greythorn (Vic)/Camberwell Grammar (Vic)/Oakleigh U18,2017,rookieElevation,45,2022-10-24
Riley,Bonner,951,Port Adelaide,2022,26,MEDIUM_DEFENDER,CD_I994599,1997-03-07,2015,190,85,Goodwood (SA)/West Adelaide (SANFL),2016,nationalDraft,37,2022-10-24
Martin,Frederick,1932,Port Adelaide,2022,45,MEDIUM_DEFENDER,CD_I999320,2000-05-17,2018,179,83,Portland (SA)/Woodville-West Torrens (SANFL),2021,other,NA,2022-10-24
Mitch,Hannan,1347,Western Bulldogs,2022,29,MEDIUM_DEFENDER,CD_I1001449,1994-03-09,2016,190,88,Gisborne Rookies (Vic)/St Bernard&apos;s (Vic)/Footscray (VFL)/Melb,2017,nationalDraft,46,2022-10-24
Aaron,Naughton,1621,Western Bulldogs,2022,33,KEY_FORWARD,CD_I1002404,1999-11-30,2017,195,93,Rockingham (WA)/Peel Thunder (WAFL),2018,nationalDraft,9,2022-10-24
Tim,English,1409,Western Bulldogs,2022,44,RUCK,CD_I1004592,1997-08-10,2016,207,103,Brookton-Pingelly (WA)/South Fremantle (WAFL),2017,nationalDraft,19,2022-10-24
Laitham,Vandermeer,1931,Western Bulldogs,2022,23,MEDIUM_FORWARD,CD_I1005000,1999-02-03,2018,181,79,Mooroopna (Vic)/Murray U18,2020,nationalDraft,37,2022-10-24
Rhylee,West,1912,Western Bulldogs,2022,14,MEDIUM_FORWARD,CD_I1006127,2000-07-12,2018,182,85,Strathmore (Vic)/St Kevin&apos;s College (Vic)/Calder U18,2019,fatherSon,26,2022-10-24
Bailey,Smith,1913,Western Bulldogs,2022,6,MIDFIELDER_FORWARD,CD_I1006130,2000-12-07,2018,185,86,East Malvern (Vic)/Xavier College (Vic)/Old Xavs (Vic)/Sandr U18,2019,nationalDraft,7,2022-10-24
Riley,Garcia,3741,Western Bulldogs,2022,38,MEDIUM_FORWARD,CD_I1006533,2001-01-30,2019,177,77,Caversham (WA)/Swan Districts (WAFL),2021,nationalDraft,62,2022-10-24
Ed,Richards,1722,Western Bulldogs,2022,20,MEDIUM_DEFENDER,CD_I1008280,1999-07-03,2017,188,86,Hawthorn Citizens (Vic)/Carey Grammar (Vic)/Oakleigh U18,2018,nationalDraft,16,2022-10-24
Lachlan,McNeil,4079,Western Bulldogs,2022,30,MIDFIELDER_FORWARD,CD_I1009015,2001-09-02,2020,184,82,South Clare (SA)/Woodville-West Torrens (SANFL),2021,rookieElevation,11,2022-10-24
Jamarra,Ugle-Hagan,2693,Western Bulldogs,2022,2,KEY_FORWARD,CD_I1009301,2002-04-04,2020,197,92,South Warrnambool (Vic)/Scotch College (Vic)/Oakleigh U18,2021,nationalDraft,1,2022-10-24
Cody,Weightman,2401,Western Bulldogs,2022,19,MEDIUM_FORWARD,CD_I1011803,2001-01-15,2019,178,74,Beaconsfield (Vic)/Haileybury College (Vic)/Dandenong U18,2020,nationalDraft,15,2022-10-24
Louis,Butler,3229,Western Bulldogs,2022,18,MIDFIELDER,CD_I1011992,2001-08-26,2019,185,79,Old Brighton (Vic)/Brighton Grammar (Vic)/Sandringham U18,2020,nationalDraft,53,2022-10-24
Cody,Raak,3017,Western Bulldogs,2022,40,KEY_DEFENDER,CD_I1012879,2002-10-08,2021,193,83,Caroline Springs (Vic)/Lakeview Senior Coll (Vic)/Western U18/Footscray (VFL),NA,other,NA,2022-10-24
Dominic,Bedendo,3231,Western Bulldogs,2022,26,MIDFIELDER,CD_I1015822,2002-07-09,2020,191,83,Myrtleford (Vic)/Murray U18,2022,nationalDraft,55,2022-10-24
Luke,Cleary,3187,Western Bulldogs,2022,36,MEDIUM_DEFENDER,CD_I1015929,2002-03-05,2021,190,78,Beaumaris (Vic)/Haileybury College (Vic)/Sandringham U18,2022,nationalDraft,61,2022-10-24
Sam,Darcy,5292,Western Bulldogs,2022,10,KEY_DEFENDER,CD_I1017126,2003-07-19,2021,205,94,Glen Iris (Vic)/Scotch College (Vic)/Oakleigh U18,2022,fatherSon,2,2022-10-24
Arthur,Jones,5703,Western Bulldogs,2022,32,MEDIUM_FORWARD,CD_I1020586,2003-07-18,2021,179,65,Mt Barker (WA)/Wesley College (WA)/Claremont (WAFL),NA,nationalDraft,43,2022-10-24
Charlie,Parker,5704,Western Bulldogs,2022,25,MIDFIELDER,CD_I1023224,1997-10-13,2021,193,88,Goodwood (SA)/Sturt (SANFL),NA,rookieElevation,17,2022-10-24
Stefan,Martin,195,Western Bulldogs,2022,8,RUCK,CD_I280763,1986-11-17,2007,198,99,Old Haileybury (Vic)/Sandringham (VFL)/Melbourne/Brisbane,2008,preseason,3,2022-10-24
Taylor,Duryea,431,Western Bulldogs,2022,15,MEDIUM_DEFENDER,CD_I290085,1991-04-24,2009,181,79,Wahgunyah (Vic)/Caulfield Grammar (Vic)/Murray U18/Hawthorn,2013,nationalDraft,69,2022-10-24
Alex,Keath,719,Western Bulldogs,2022,42,KEY_DEFENDER,CD_I290797,1992-01-20,2017,197,99,Shepparton Bears (Vic)/Murray U18/Gold Coast List/Adelaide,2017,rookieElevation,NA,2022-10-24
Tom,Liberatore,848,Western Bulldogs,2022,21,MIDFIELDER,CD_I290799,1992-05-16,2010,184,85,St Bernard&apos;s (Vic)/Calder U18,2011,fatherSon,41,2022-10-24
Josh,Bruce,711,Western Bulldogs,2022,17,KEY_FORWARD,CD_I291492,1992-06-08,2011,198,97,Eastlake (NEAFL)/GWS/St Kilda,2012,zone,NA,2022-10-24
Mitch,Wallis,634,Western Bulldogs,2022,3,MEDIUM_FORWARD,CD_I291545,1992-10-24,2010,186,86,St Bernard&apos;s(Vic)/Calder U18,2011,fatherSon,22,2022-10-24
Adam,Treloar,492,Western Bulldogs,2022,1,MIDFIELDER,CD_I291790,1993-03-09,2011,184,89,Noble Park (Vic)/Dandenong U18/GWS/Collingwood,2012,other,NA,2022-10-24
Hayden,Crozier,286,Western Bulldogs,2022,9,MEDIUM_DEFENDER,CD_I293651,1993-12-24,2011,187,81,Rowville (Vic)/Eastern U18/Fremantle,2012,nationalDraft,20,2022-10-24
Jason,Johannisen,840,Western Bulldogs,2022,39,MEDIUM_FORWARD,CD_I294101,1992-11-08,2012,181,81,Willetton (WA)/East Fremantle (WAFL),2012,rookieElevation,105,2022-10-24
Lachie,Hunter,749,Western Bulldogs,2022,7,MIDFIELDER,CD_I294557,1994-12-13,2012,182,81,Williamstown Juniors (Vic)/St Kevin&apos;s College (Vic)/Western U18,2013,fatherSon,49,2022-10-24
Caleb,Daniel,952,Western Bulldogs,2022,35,MEDIUM_DEFENDER,CD_I295136,1996-07-07,2014,170,71,Edwardstown (SA)/South Adelaide (SANFL),2015,nationalDraft,46,2022-10-24
Jack,Macrae,748,Western Bulldogs,2022,11,MIDFIELDER,CD_I295467,1994-08-03,2012,192,88,Kew Rovers (Vic)/Carey Grammar (Vic)/Oakleigh U18,2013,nationalDraft,6,2022-10-24
Tim,O'Brien,254,Western Bulldogs,2022,22,KEY_DEFENDER,CD_I296041,1994-03-28,2012,193,92,West Gambier (SA)/Glenelg (SANFL)/Hawthorn,2014,nationalDraft,28,2022-10-24
Robbie,McComb,4826,Western Bulldogs,2022,27,MIDFIELDER_FORWARD,CD_I296588,1995-12-19,2021,181,82,Wantirna South (Vic)/Footscray (VFL),2022,rookieElevation,31,2022-10-24
Marcus,Bontempelli,857,Western Bulldogs,2022,4,MIDFIELDER,CD_I297373,1995-11-24,2013,193,93,Eltham (Vic)/Northern U18,2014,nationalDraft,4,2022-10-24
Zaine,Cordy,1084,Western Bulldogs,2022,12,KEY_DEFENDER,CD_I991939,1996-10-27,2014,195,92,Ocean Grove (Vic)/Geelong College (Vic)/Geelong U18,2015,fatherSon,62,2022-10-24
Anthony,Scott,4203,Western Bulldogs,2022,28,MIDFIELDER,CD_I992048,1995-02-28,2020,180,77,Kew Comets (Vic)/Trinity Gram (Vic)/Oakl U18/Old Trinity (Vic)/Foots (VFL),2021,preseason,NA,2022-10-24
Roarke,Smith,1143,Western Bulldogs,2022,37,MIDFIELDER,CD_I992054,1996-09-11,2020,184,82,Sunbury (Vic)/Calder U18,2015,rookieElevation,26,2022-10-24
Jordon,Sweet,1943,Western Bulldogs,2022,41,RUCK,CD_I992330,1998-02-02,2018,205,103,Tea Tree Gully (SA)/North Adelaide (SANFL),2021,rookieElevation,23,2022-10-24
Bailey,Williams,969,Western Bulldogs,2022,34,MIDFIELDER,CD_I992351,1997-10-10,2015,189,86,Brighton District &amp; Old Scholars (SA)/Glenelg (SANFL),2016,nationalDraft,48,2022-10-24
Josh,Dunkley,1083,Western Bulldogs,2022,5,MIDFIELDER_FORWARD,CD_I993834,1997-01-09,2015,191,91,Sale (Vic)/Gippsland U18,2016,nationalDraft,25,2022-10-24
Josh,Schache,882,Western Bulldogs,2022,13,KEY_FORWARD,CD_I993841,1997-08-21,2015,201,94,Seymour (Vic)/Murray U18/Brisbane,2016,nationalDraft,2,2022-10-24
Toby,McLean,1081,Western Bulldogs,2022,16,MIDFIELDER,CD_I996483,1996-01-31,2014,181,83,Narre Warren (Vic)/Oakleigh U18,2015,nationalDraft,26,2022-10-24
Bailey,Dale,1053,Western Bulldogs,2022,31,MEDIUM_DEFENDER,CD_I996708,1996-07-22,2014,187,83,Edithvale-Aspendale (Vic)/Dandenong U18,2015,nationalDraft,45,2022-10-24
Ryan,Gardner,900,Western Bulldogs,2022,43,KEY_DEFENDER,CD_I997501,1997-06-01,2015,197,95,Burnie Dockers (Tas)/Geelong List/Footscray (VFL),2019,nationalDraft,59,2022-10-24
Buku,Khamis,1959,Western Bulldogs,2022,24,KEY_FORWARD,CD_I998782,2000-03-24,2018,190,85,St Albans (Vic Metro)/Maribyrnong College (Vic)/Western U18,2021,other,NA,2022-10-24
Lachlan,Bramble,4313,Hawthorn,2022,16,MEDIUM_DEFENDER,CD_I1000864,1998-04-19,NA,181,80,NA,NA,NA,NA,2022-10-24
Mitch,Lewis,1333,Hawthorn,2022,2,KEY_FORWARD,CD_I1000887,1998-10-14,NA,199,101,NA,NA,NA,NA,2022-10-24
Max,Lynch,1319,Hawthorn,2022,18,RUCK,CD_I1000960,1998-09-12,NA,200,101,NA,NA,NA,NA,2022-10-24
Harry,Morrison,1341,Hawthorn,2022,1,MIDFIELDER,CD_I1000963,1998-11-12,NA,183,81,NA,NA,NA,NA,2022-10-24
Ned,Reeves,1822,Hawthorn,2022,37,RUCK,CD_I1001024,1998-10-31,NA,209,104,NA,NA,NA,NA,2022-10-24
James,Worpel,1713,Hawthorn,2022,5,MIDFIELDER,CD_I1002222,1999-01-24,NA,186,88,NA,NA,NA,NA,2022-10-24
Emerson,Jeka,3049,Hawthorn,2022,39,KEY_DEFENDER,CD_I1005150,2001-09-18,NA,198,96,NA,NA,NA,NA,2022-10-24
Jacob,Koschitzke,1819,Hawthorn,2022,23,KEY_FORWARD,CD_I1006030,2000-07-11,NA,196,96,NA,NA,NA,NA,2022-10-24
Dylan,Moore,1595,Hawthorn,2022,13,MEDIUM_FORWARD,CD_I1006314,1999-08-04,NA,178,76,NA,NA,NA,NA,2022-10-24
Conor,Nash,1302,Hawthorn,2022,11,MIDFIELDER,CD_I1007124,1998-07-28,NA,197,94,NA,NA,NA,NA,2022-10-24
Josh,Morris,3725,Hawthorn,2022,35,MEDIUM_DEFENDER,CD_I1008537,2001-11-07,NA,186,80,NA,NA,NA,NA,2022-10-24
Will,Day,3726,Hawthorn,2022,12,MEDIUM_DEFENDER,CD_I1008550,2001-06-05,NA,191,81,NA,NA,NA,NA,2022-10-24
Jack,Saunders,4067,Hawthorn,2022,43,MEDIUM_FORWARD,CD_I1008600,2002-02-11,NA,180,76,NA,NA,NA,NA,2022-10-24
Finn,Maginness,2812,Hawthorn,2022,32,MIDFIELDER,CD_I1009421,2001-02-23,NA,189,84,NA,NA,NA,NA,2022-10-24
Sam,Butler,5124,Hawthorn,2022,30,MEDIUM_FORWARD,CD_I1010708,2003-02-10,NA,184,76,NA,NA,NA,NA,2022-10-24
James,Blanck,2447,Hawthorn,2022,36,KEY_DEFENDER,CD_I1011839,2000-11-20,NA,196,93,NA,NA,NA,NA,2022-10-24
Connor,Downie,2545,Hawthorn,2022,41,MEDIUM_DEFENDER,CD_I1012830,2002-05-31,NA,186,83,NA,NA,NA,NA,2022-10-24
Denver,Grainger-Barras,4065,Hawthorn,2022,24,KEY_DEFENDER,CD_I1013093,2002-04-17,NA,195,85,NA,NA,NA,NA,2022-10-24
Jackson,Callow,3297,Hawthorn,2022,45,KEY_FORWARD,CD_I1013208,2002-06-11,NA,194,95,NA,NA,NA,NA,2022-10-24
Tyler,Brockman,4066,Hawthorn,2022,33,MEDIUM_FORWARD,CD_I1013511,2002-11-22,NA,181,80,NA,NA,NA,NA,2022-10-24
Jai,Serong,5107,Hawthorn,2022,29,MEDIUM_FORWARD,CD_I1017091,2003-02-16,NA,193,82,NA,NA,NA,NA,2022-10-24
Connor,Macdonald,2722,Hawthorn,2022,31,MEDIUM_FORWARD,CD_I1017094,2003-01-13,NA,185,83,NA,NA,NA,NA,2022-10-24
Josh,Ward,5252,Hawthorn,2022,25,MIDFIELDER,CD_I1017110,2003-08-15,NA,183,77,NA,NA,NA,NA,2022-10-24
Ned,Long,2880,Hawthorn,2022,27,MIDFIELDER,CD_I1017124,2003-02-05,NA,194,92,NA,NA,NA,NA,2022-10-24
Seamus,Mitchell,2484,Hawthorn,2022,40,MEDIUM_FORWARD,CD_I1018016,2002-07-03,NA,181,79,NA,NA,NA,NA,2022-10-24
Jai,Newcombe,4712,Hawthorn,2022,44,MIDFIELDER,CD_I1020895,2001-08-02,NA,186,89,NA,NA,NA,NA,2022-10-24
Fionn,O'Hara,5687,Hawthorn,2022,34,MEDIUM_DEFENDER,CD_I1024939,2002-02-28,NA,186,81,NA,NA,NA,NA,2022-10-24
Max,Ramsden,6683,Hawthorn,2022,38,RUCK,CD_I1027965,2003-04-19,NA,203,86,NA,NA,NA,NA,2022-10-24
Ben,McEvoy,512,Hawthorn,2022,7,RUCK,CD_I261323,1989-07-11,2007,200,101,Dederang-Mt Beauty (Vic)/Murray U18/St Kilda,2008,nationalDraft,9,2022-10-24
Liam,Shiels,220,Hawthorn,2022,26,MIDFIELDER_FORWARD,CD_I280737,1991-04-29,2008,183,84,The Basin (Vic)/Eastern U18,2009,nationalDraft,34,2022-10-24
Luke,Breust,312,Hawthorn,2022,22,MEDIUM_FORWARD,CD_I280744,1990-11-11,2011,184,83,Temora (NSW)/NSW-ACT U18,2011,rookieElevation,77,2022-10-24
Kyle,Hartigan,87,Hawthorn,2022,28,KEY_DEFENDER,CD_I290228,1991-11-07,2013,194,101,Keilor (Vic)/Western U18/Werribee (VFL)/Adelaide,2013,rookieElevation,76,2022-10-24
Jack,Gunston,500,Hawthorn,2022,19,KEY_FORWARD,CD_I291351,1991-10-16,2009,193,86,Beaumaris (Vic)/Haileybury College (Vic)/Sandr U18/Adelaide,2010,nationalDraft,29,2022-10-24
Tom,Mitchell,587,Hawthorn,2022,3,MIDFIELDER,CD_I291856,1993-05-31,2011,182,83,Ashburton (Vic)/Claremont (WAFL)/Sydney,2013,fatherSon,21,2022-10-24
Chad,Wingard,713,Hawthorn,2022,20,MEDIUM_FORWARD,CD_I291962,1993-07-29,2011,183,82,Imperials (SA)/Sturt (SANFL)/Port Adelaide,2012,nationalDraft,6,2022-10-24
Sam,Frost,305,Hawthorn,2022,8,KEY_DEFENDER,CD_I293738,1993-08-28,2012,194,94,Ormond (Vic)/Wesley College (Vic)/Sandr U18/GWS/Melbourne,2012,rookieElevation,83,2022-10-24
Jaeger,O'Meara,614,Hawthorn,2022,10,MIDFIELDER,CD_I294613,1994-02-23,2012,184,83,Dongara (WA)/Perth (WAFL)/Gold Coast,2013,other,1,2022-10-24
Jarman,Impey,703,Hawthorn,2022,4,MEDIUM_DEFENDER,CD_I296254,1995-07-09,NA,178,81,NA,NA,NA,NA,2022-10-24
James,Sicily,514,Hawthorn,2022,6,KEY_DEFENDER,CD_I297566,1995-01-06,NA,187,87,NA,NA,NA,NA,2022-10-24
Daniel,Howe,986,Hawthorn,2022,17,MIDFIELDER,CD_I992462,1995-12-04,NA,193,88,NA,NA,NA,NA,2022-10-24
Blake,Hardwick,924,Hawthorn,2022,15,MEDIUM_DEFENDER,CD_I993794,1997-02-05,NA,182,81,NA,NA,NA,NA,2022-10-24
Tom,Phillips,908,Hawthorn,2022,21,MIDFIELDER,CD_I996487,1996-05-07,NA,187,80,NA,NA,NA,NA,2022-10-24
Jack,Scrimshaw,1336,Hawthorn,2022,14,MEDIUM_DEFENDER,CD_I998114,1998-09-04,NA,193,89,NA,NA,NA,NA,2022-10-24
Changkuoth,Jiath,1574,Hawthorn,2022,9,MEDIUM_DEFENDER,CD_I998390,1999-06-13,NA,185,80,NA,NA,NA,NA,2022-10-24
Jack,Henry,1339,Geelong Cats,2022,38,KEY_DEFENDER,CD_I1000937,1998-08-29,2016,192,96,"St Mary&apos;s, Geelong (Vic)/Geelong U18",2018,rookieElevation,16,2022-10-24
Esava,Ratugolea,1375,Geelong Cats,2022,17,KEY_FORWARD,CD_I1002220,1998-07-24,2016,198,108,Cobram (Vic)/Murray U18,2018,nationalDraft,43,2022-10-24
Zach,Guthrie,1342,Geelong Cats,2022,39,MEDIUM_DEFENDER,CD_I1004870,1998-06-30,2016,187,84,Sunbury (Vic)/Calder U18,2017,rookieElevation,33,2022-10-24
Gryan,Miers,1563,Geelong Cats,2022,32,MEDIUM_FORWARD,CD_I1004938,1999-03-30,2017,179,81,Grovedale (Vic)/Geelong U18,2019,nationalDraft,57,2022-10-24
Sam,Simpson,1326,Geelong Cats,2022,37,MIDFIELDER,CD_I1004940,1998-06-14,2016,183,75,"St Joseph&apos;s, Geel (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18",2017,rookieElevation,53,2022-10-24
Cooper,Stephens,2260,Geelong Cats,2022,12,MIDFIELDER,CD_I1004948,2001-01-17,2019,188,86,Colac (Vic)/Geelong U18,2022,nationalDraft,16,2022-10-24
Paul,Tsapatolis,4062,Geelong Cats,2022,36,RUCK,CD_I1007049,2002-06-20,2020,202,101,Yarraville-Seddon (Vic),NA,other,NA,2022-10-24
Nick,Stevens,2709,Geelong Cats,2022,21,MEDIUM_DEFENDER,CD_I1007101,2002-03-23,2020,193,85,East Point (Vic)/Geelong Grammar (Vic)/GWV U18,NA,nationalDraft,47,2022-10-24
Mark,O'Connor,1344,Geelong Cats,2022,42,MEDIUM_DEFENDER,CD_I1007102,1997-01-17,2016,191,89,County Kerry (Ireland),2017,other,NA,2022-10-24
Sam,De Koning,2248,Geelong Cats,2022,16,KEY_DEFENDER,CD_I1009229,2001-02-26,2019,204,101,Mornington (Vic)/Dandenong U18,2021,nationalDraft,19,2022-10-24
James,Willis,5683,Geelong Cats,2022,20,MIDFIELDER_FORWARD,CD_I1011633,2003-07-10,2021,183,78,Ingle Farm (SA)/The Heights School (SA)/North Adelaide (SANFL),NA,nationalDraft,32,2022-10-24
Zane,Williams,8397,Geelong Cats,2022,41,MEDIUM_FORWARD,CD_I1013038,2001-06-05,2022,183,71,Woodville South (SA)/Woodville-West Torrens (SANFL),NA,other,12,2022-10-24
Max,Holmes,3250,Geelong Cats,2022,9,MIDFIELDER,CD_I1015889,2002-08-29,2020,189,83,East Malvern (Vic)/Prahran (Vic)/Melb Grammar (Vic)/Sandr U18,2021,nationalDraft,20,2022-10-24
Shannon,Neale,4063,Geelong Cats,2022,33,KEY_FORWARD,CD_I1016433,2002-07-25,2020,203,100,Jandakot (WA)/Leeming HS (WA)/South Fremantle (WAFL),2022,nationalDraft,33,2022-10-24
Toby,Conway,5112,Geelong Cats,2022,6,RUCK,CD_I1017063,2003-04-24,2021,205,100,"St Mary&apos;s, Geelong (Vic)/Geelong College (Vic)/Geelong U18",NA,nationalDraft,24,2022-10-24
Francis,Evans,2582,Geelong Cats,2022,31,MEDIUM_FORWARD,CD_I1017255,2001-08-23,2019,182,83,Brunswick North OB (Vic)/Brunswick SC (Vic)/Calder U18,2021,nationalDraft,41,2022-10-24
Flynn,Kroeger,2820,Geelong Cats,2022,25,MIDFIELDER,CD_I1018020,2003-07-23,2021,185,85,Wandin (Vic)/Rowville Secondary College (Vic)/Eastern U18,NA,nationalDraft,48,2022-10-24
Cooper,Whyte,5162,Geelong Cats,2022,11,MIDFIELDER,CD_I1021090,2003-02-24,2021,181,78,Grovedale (Vic)/Grovedale College (Vic)/Geelong U18,NA,nationalDraft,64,2022-10-24
Mitch,Knevitt,5176,Geelong Cats,2022,10,MIDFIELDER,CD_I1021103,2003-01-08,2021,193,84,Grovedale (Vic)/Grovedale College (Vic)/Geelong U18,2022,nationalDraft,25,2022-10-24
Oisin,Mullin,5684,Geelong Cats,2022,34,MEDIUM_DEFENDER,CD_I1024982,2000-02-11,2021,182,84,County Mayo,NA,other,NA,2022-10-24
Oliver,Dempsey,5685,Geelong Cats,2022,28,MEDIUM_FORWARD,CD_I1025034,2003-01-07,2021,185,70,Boroondara (Vic)/Carey Grammar (Vic)/Old Carey (Vic),2022,rookieElevation,15,2022-10-24
Joel,Selwood,225,Geelong Cats,2022,14,MIDFIELDER,CD_I250321,1988-05-26,2006,183,84,Sandhurst (Vic)/Bendigo U18,2007,nationalDraft,7,2022-10-24
Shaun,Higgins,685,Geelong Cats,2022,4,MEDIUM_FORWARD,CD_I260227,1988-03-04,2005,184,89,"Newtown &amp; Chilwell (Vic)/St Joseph&apos;s Coll, Geel (Vic)/Geel U18/WB/NM",2006,nationalDraft,11,2022-10-24
Tom,Hawkins,285,Geelong Cats,2022,26,KEY_FORWARD,CD_I261510,1988-07-21,2006,198,104,Finley (NSW)/Melbourne Grammar (Vic)/Sandringham U18,2007,fatherSon,41,2022-10-24
Patrick,Dangerfield,10,Geelong Cats,2022,35,MIDFIELDER,CD_I270917,1990-04-05,2007,189,97,Anglesea (Vic)/Geelong U18/Adelaide,2008,nationalDraft,10,2022-10-24
